id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
24844830,You're Always On My Mind,,https://dou.img.lithub.cc/music/24844830.jpg,2013-07-02,https://music.douban.com/subject/24844830/,7.2,摇滚,4,3.5. 所有的元素都喜欢。Cut: back to school,,2024-02-08 22:44:54,A Great Big Pile of Leaves / 2013
36641921,Wall Of Eyes,,https://dou.img.lithub.cc/music/36641921.jpg,2024-01-26,https://music.douban.com/subject/36641921/,8.3,摇滚,4,,,2024-02-07 23:02:31,The Smile / 2024
2264207,GOODBYE & HELLO,,https://dou.img.lithub.cc/music/2264207.jpg,2007-10-19,https://music.douban.com/subject/2264207/,8.7,流行,,一首《达尔文》让其他所有曲目再好听也黯然失色了,,2024-01-25 23:11:03,蔡健雅 Tanya / 2007
35210840,脆莓,,https://dou.img.lithub.cc/music/35210840.jpg,2020-09-21,https://music.douban.com/subject/35210840/,7.4,摇滚,2,大部分仍是我老家理发店里放的烂俗空洞歌曲，偶有现代亮耳声音，但总算不上好听,,2024-01-18 01:07:26,脆莓 / 2020
34867979,Everyday Life,,https://dou.img.lithub.cc/music/34867979.jpg,2019-11-22,https://music.douban.com/subject/34867979/,7.8,摇滚,4,声音和编曲丰富了很多，同时乐队性又少了一些。捉摸不透这张的主题是共情性更强了还是更弱了,,2024-01-15 22:32:16,Coldplay / 2019
30384964,Wednesday,,https://dou.img.lithub.cc/music/30384964.jpg,2018-05-02,https://music.douban.com/subject/30384964/,8.5,摇滚,3,3.5. Deaf 有惊喜,,2024-01-13 22:00:51,Just Mustard / 2018
36672782,Today I Laid Down,,https://dou.img.lithub.cc/music/36672782.jpg,2023-08-25,https://music.douban.com/subject/36672782/,8.1,摇滚,4,,,2024-01-01 19:45:42,bl4ck m4rket c4rt / 2023
36516501,Javelin,,https://dou.img.lithub.cc/music/36516501.jpg,2023-10-06,https://music.douban.com/subject/36516501/,8.8,民谣,,不知道为啥觉得这张有点闹有点粗糙了,,2023-12-27 14:54:22,Sufjan Stevens / 2023
27120973,Freudian,,https://dou.img.lithub.cc/music/27120973.jpg,2017-08-25,https://music.douban.com/subject/27120973/,8.6,放克/灵歌/R&B,5,"cut: Get You, Best Part, Neu Roses",,2023-12-27 14:53:43,Daniel Caesar / 2017
25753912,金光之乡,,https://dou.img.lithub.cc/music/25753912.jpg,2013-12-13,https://music.douban.com/subject/25753912/,8.5,摇滚,4,第一次听一分钟的开关大师直接把我听哭了，后面就没这个感觉了,,2023-12-27 14:50:57,甜梅号 / 2013
36605685,刘海被风吹得整个飞起来,,https://dou.img.lithub.cc/music/36605685.jpg,2023-10-12,https://music.douban.com/subject/36605685/,7.5,流行,4,整体听感挺不错的,,2023-12-27 14:49:36,缓缓 Huan Huan / 2023
2993862,宇宙 日本 世田谷,,https://dou.img.lithub.cc/music/2993862.jpg,1997-07-24,https://music.douban.com/subject/2993862/,9.4,摇滚,5,,,2023-12-27 14:48:08,fishmans / 1997
35698644,小霞 2.0,,https://dou.img.lithub.cc/music/35698644.jpg,2021-12-15,https://music.douban.com/subject/35698644/,9,流行,5,,,2023-12-17 08:14:12,黄绮珊 SUSAN HUANG / 2021
36660948,小霞3.0,,https://dou.img.lithub.cc/music/36660948.jpg,2023-12-25,https://music.douban.com/subject/36660948/,7.6,流行,3,初听有几句生理性的感动，再听就俗不可耐了,,2023-12-16 15:27:49,小霞 黄绮珊 / 2023
3026461,LONG SEASON,,https://dou.img.lithub.cc/music/3026461.jpg,1996-10-25,https://music.douban.com/subject/3026461/,9.6,摇滚,4,一点儿也不漫长,,2023-12-02 14:04:55,FISHMANS / 1996
36104975,Here to stay,,https://dou.img.lithub.cc/music/36104975.jpg,2022-09-17,https://music.douban.com/subject/36104975/,7.8,摇滚,4,"Cut: Circle, Meditation ",,2023-10-29 06:15:58,TRPP / 2022
36605786,馬,,https://dou.img.lithub.cc/music/36605786.jpg,2023-10-17,https://music.douban.com/subject/36605786/,8.3,摇滚,,初听四星，少了些前两张炫目的冲撞感,,2023-10-26 09:44:47,betcover!! / 2023
26788783,A Moon Shaped Pool,,https://dou.img.lithub.cc/music/26788783.jpg,2016-05-08,https://music.douban.com/subject/26788783/,9,摇滚,5,"I'm not living, I'm just killing time",,2023-10-06 10:01:15,收音机头 Radiohead / 2016
3129852,Agaetis Byrjun,,https://dou.img.lithub.cc/music/3129852.jpg,2001-05-22,https://music.douban.com/subject/3129852/,9.2,电子,,除了第二首的一点噪音其他都不太能get到，所有人声都不喜欢,,2023-09-23 15:11:09,Sigur Ros / 2001
36445162,ÁTTA,,https://dou.img.lithub.cc/music/36445162.jpg,2023-06-16,https://music.douban.com/subject/36445162/,7.3,摇滚,3,无感,,2023-09-20 04:59:27,Sigur Rós / 2023
30231126,Future Me Hates Me,,https://dou.img.lithub.cc/music/30231126.jpg,2018-08-10,https://music.douban.com/subject/30231126/,7.2,摇滚,,,,2023-09-19 13:06:22,The Beths / 2018
35970715,Blue Rev,,https://dou.img.lithub.cc/music/35970715.jpg,2022-10-07,https://music.douban.com/subject/35970715/,7.6,摇滚,1,,,2023-09-19 13:04:51,Alvvays / 2022
35515265,TRPP,,https://dou.img.lithub.cc/music/35515265.jpg,2021-07-05,https://music.douban.com/subject/35515265/,8,摇滚,5,"咋这么好呢。Cuts: a Joke, Pause",,2023-09-19 03:42:56,TRPP / 2021
3890782,Exploding Head,,https://dou.img.lithub.cc/music/3890782.jpg,2009-10-06,https://music.douban.com/subject/3890782/,8,摇滚,3,Cut: Everything Always Goes Wrong,,2023-09-19 03:42:32,A Place To Bury Strangers 亂葬崗樂團 / 2009
1789508,Emergency & I,,https://dou.img.lithub.cc/music/1789508.jpg,1999-10-26,https://music.douban.com/subject/1789508/,8.8,摇滚,3,报听,,2023-09-08 09:41:14,The Dismemberment Plan / 1999
1427045,Sublime,,https://dou.img.lithub.cc/music/1427045.jpg,1996,https://music.douban.com/subject/1427045/,8.9,雷鬼,5,,,2023-08-25 01:26:20,Sublime / 1996
34976343,头上的洞,,https://dou.img.lithub.cc/music/34976343.jpg,2017-08-17,https://music.douban.com/subject/34976343/,8.1,摇滚,2,除了飞天那几嗓子有点生命力之外，其他都乏善可陈得要命,,2023-08-15 08:25:15,鸟撞 / 2017
26281089,Gliss Riffer,,https://dou.img.lithub.cc/music/26281089.jpg,2015-02-20,https://music.douban.com/subject/26281089/,7.8,电子,5,听过最“精致”的电子乐。人声运用得极其丝滑和巧妙,,2023-08-07 13:58:06,Dan Deacon / 2015
36250612,HOPE,,https://dou.img.lithub.cc/music/36250612.jpg,2023-04-07,https://music.douban.com/subject/36250612/,7.1,说唱,4,好听的呀,,2023-07-12 00:36:24,NF / 2023
36400683,Young Fresh Chin II,,https://dou.img.lithub.cc/music/36400683.jpg,2023-05-10,https://music.douban.com/subject/36400683/,9,说唱,4,没人会歧视“中专说唱”，某种程度上中专说唱是唯一的说唱，大家歧视的是“中专红色说唱”和“中专励志说唱”。Jazz 和 samples 用得感觉有点过了，可以再雕琢一下。Cut: 丛林,,2023-07-11 09:34:21,夏之禹 / 2023
3838018,夏 / 狂热,,https://dou.img.lithub.cc/music/3838018.jpg,2009-09-11,https://music.douban.com/subject/3838018/,8.7,摇滚,5,小时候玩着缩小帽听着这张专辑，我总觉得那是决定我这个平行宇宙的关键事件,,2023-07-10 03:29:00,苏打绿 / 2009
35796960,理想狀態,,https://dou.img.lithub.cc/music/35796960.jpg,2022-03-25,https://music.douban.com/subject/35796960/,7.3,流行,3,台湾这些流行乐队真是数十年如一日毫无进步，无聊肤浅做作。唯一的优点是“好听”。Cut: 理想状态、无所事事,,2023-07-02 07:03:43,宇宙人 / 2022
26757754,Teens of Denial,,https://dou.img.lithub.cc/music/26757754.jpg,2016-05-20,https://music.douban.com/subject/26757754/,9,摇滚,5,比 twin fantasy 好听,,2023-06-30 03:34:38,Car Seat Headrest / 2016
26735558,No Burden,,https://dou.img.lithub.cc/music/26735558.jpg,2016-02-26,https://music.douban.com/subject/26735558/,7.7,摇滚,4,Get 到了 Lucy 的 vocal. 没有后面几张那么用力，反而有种游刃有余的感觉,,2023-06-13 02:48:04,Lucy Dacus / 2016
36337784,瓦合,,https://dou.img.lithub.cc/music/36337784.jpg,2023-05-20,https://music.douban.com/subject/36337784/,7.4,摇滚,3,很痛心地打了三星，不是为草东痛心，而是为我少了一张本应该很喜欢的专辑痛心。王师傅说的差不多了，第一张专辑里封神的贝斯和鼓、bouncy 的后朋吉他、视角狭窄但覆盖面广的歌词、困顿乱撞的人格，在这张专辑都被稀释了。另外，这张专辑的连续性也远不及第一张。最喜欢的还是《床》,,2023-05-30 13:00:00,草东没有派对 / 2023
34970141,Heaven To A Tortured Mind,,https://dou.img.lithub.cc/music/34970141.jpg,2020-04-03,https://music.douban.com/subject/34970141/,8.3,摇滚,,从新专过来，是 consistent 的，但我更喜欢新专的人声,,2023-05-30 06:06:37,Yves Tumor / 2020
34715870,Bismillah,,https://dou.img.lithub.cc/music/34715870.jpg,2019-06-07,https://music.douban.com/subject/34715870/,9.4,摇滚,4,Shit I'm Dreaming,,2023-05-28 14:58:51,Peter Cat Recording Co. / 2019
34857039,吾日三省吾身,,https://dou.img.lithub.cc/music/34857039.jpg,2019-11-08,https://music.douban.com/subject/34857039/,7.8,摇滚,4,Cut: 垂钓、那些失眠的夜与难以忘怀的事、安九,,2023-05-28 14:58:10,老王乐队 / 2019
